"jdv4p","q23","region","agglo","sexe","age_int_reg","pcschef_r","pcsint_r","diplome","religion","pratiquerel"
"Nicolas Sarkozy","TF1","Sud  Est","2 000 à 20 000 habitants","Femme","18 à 24 ans","ouvriers","professions intermédiaires, techniciens, contremaitres et agents de maitrise","Diplôme de l'enseignement supérieur","Catholique","De temps en temps, aux grandes fêtes"
"Abstention","France 2","Sud  Est","20 000 à 100 000 habitants","Homme","35 à 49 ans","ouvriers","ouvriers","CAP/BEP","Sans religion","NA"
"Nicolas Sarkozy","France 3","Sud  Est","Moins de 2000 habitants","Homme","50 à 64 ans","ouvriers","ouvriers","CAP/BEP","Sans religion","NA"
"Abstention","Autre","Sud  Est","Moins de 2000 habitants","Homme","35 à 49 ans","ouvriers","ouvriers","BAC technique","Sans religion","NA"
"François Hollande","BFM TV","Sud  Est","2 000 à 20 000 habitants","Homme","35 à 49 ans","ouvriers","ouvriers","Sans diplôme","Sans religion","NA"
"Abstention","BFM TV","Est","Plus de 100 000 habitants","Homme","50 à 64 ans","ouvriers","ouvriers","CAP/BEP","Sans religion","NA"
"François Hollande","BFM TV","Sud Ouest","Plus de 100 000 habitants","Homme","50 à 64 ans","ouvriers","ouvriers","CAP/BEP","Catholique","Uniquement pour les cérémonies, mariages"
"Abstention","TF1","Sud Ouest","20 000 à 100 000 habitants","Homme","35 à 49 ans","ouvriers","ouvriers","BAC+2 / niveau BAC+2","Sans religion","NA"
"François Bayrou","TF1","Sud Ouest","Moins de 2000 habitants","Femme","35 à 49 ans","ouvriers","artisans, commercants et chef d entreprises","BAC+2 / niveau BAC+2","Catholique","Uniquement pour les cérémonies, mariages"
"Abstention","TF1","Sud Ouest","2 000 à 20 000 habitants","Femme","35 à 49 ans","ouvriers","employés et personnels de services","BAC+2 / niveau BAC+2","Catholique","Uniquement pour les cérémonies, mariages"
"François Bayrou","France 2","Ouest","20 000 à 100 000 habitants","Femme","18 à 24 ans","employés et personnels de services","employés et personnels de services","BAC général","Sans religion","NA"
"Abstention","Aucune","Sud Ouest","Moins de 2000 habitants","Femme","35 à 49 ans","artisans, commercants et chef d entreprises","employés et personnels de services","BAC+2 / niveau BAC+2","Sans religion","NA"
"Abstention","TF1","Sud  Est","Plus de 100 000 habitants","Homme","35 à 49 ans","ouvriers","ouvriers","CAP/BEP","Sans religion","NA"
"Nicolas Sarkozy","BFM TV","Sud Ouest","Moins de 2000 habitants","Homme","35 à 49 ans","artisans, commercants et chef d entreprises","artisans, commercants et chef d entreprises","CAP/BEP","Catholique","Uniquement pour les cérémonies, mariages"
"Abstention","TF1","Nord","Plus de 100 000 habitants","Femme","50 à 64 ans","ouvriers","employés et personnels de services","CAP/BEP","Catholique","De temps en temps, aux grandes fêtes"
"Abstention","France 2","Nord","20 000 à 100 000 habitants","Homme","35 à 49 ans","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Catholique","Uniquement pour les cérémonies, mariages"
"François Hollande","I-télé","Sud  Est","20 000 à 100 000 habitants","Homme","35 à 49 ans","ouvriers","ouvriers","CAP/BEP","Catholique","Jamais"
"Abstention","Aucune","Sud  Est","20 000 à 100 000 habitants","Homme","35 à 49 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","Diplôme de l'enseignement supérieur","Sans religion","NA"
"Abstention","M6","Est","Moins de 2000 habitants","Homme","35 à 49 ans","ouvriers","ouvriers","CAP/BEP","Catholique","Uniquement pour les cérémonies, mariages"
"Abstention","TF1","Nord","20 000 à 100 000 habitants","Femme","50 à 64 ans","ouvriers","employés et personnels de services","BEPC","Catholique","Uniquement pour les cérémonies, mariages"
"François Hollande","Aucune","Ouest","Plus de 100 000 habitants","Femme","25 à 34 ans","retraités / autres inactifs","retraités / autres inactifs","BAC+2 / niveau BAC+2","Catholique","Uniquement pour les cérémonies, mariages"
"François Hollande","I-télé","Sud  Est","Moins de 2000 habitants","Femme","50 à 64 ans","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Catholique","Jamais"
"Marine Le Pen","BFM TV","Ouest","Plus de 100 000 habitants","Homme","25 à 34 ans","ouvriers","ouvriers","BAC technique","Sans religion","NA"
"Marine Le Pen","BFM TV","Nord","Moins de 2000 habitants","Femme","50 à 64 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","Certificat d'études primaires","Catholique","Uniquement pour les cérémonies, mariages"
"Nicolas Sarkozy","France 2","Centre","Moins de 2000 habitants","Homme","35 à 49 ans","artisans, commercants et chef d entreprises","artisans, commercants et chef d entreprises","Diplôme de l'enseignement supérieur","Sans religion","NA"
"Abstention","Aucune","Ouest","Plus de 100 000 habitants","Femme","25 à 34 ans","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Sans religion","NA"
"Nicolas Sarkozy","Canal +","Nord","20 000 à 100 000 habitants","Femme","35 à 49 ans","professions libérales et cadres","artisans, commercants et chef d entreprises","Diplôme de l'enseignement supérieur","Catholique","Une ou deux fois par mois"
"Nicolas Sarkozy","Autre","Sud  Est","Plus de 100 000 habitants","Femme","50 à 64 ans","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Protestante","Jamais"
"François Bayrou","France 2","Sud  Est","Moins de 2000 habitants","Femme","18 à 24 ans","retraités / autres inactifs","retraités / autres inactifs","Diplôme de l'enseignement supérieur","Sans religion","NA"
"Abstention","I-télé","Sud  Est","Plus de 100 000 habitants","Homme","35 à 49 ans","artisans, commercants et chef d entreprises","artisans, commercants et chef d entreprises","Diplôme de l'enseignement supérieur","Catholique","De temps en temps, aux grandes fêtes"
"Nicolas Sarkozy","TF1","Sud Ouest","Plus de 100 000 habitants","Femme","35 à 49 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","BAC+2 / niveau BAC+2","Catholique","Uniquement pour les cérémonies, mariages"
"Nicolas Sarkozy","TF1","Nord","Plus de 100 000 habitants","Homme","18 à 24 ans","artisans, commercants et chef d entreprises","retraités / autres inactifs","BAC+2 / niveau BAC+2","Catholique","De temps en temps, aux grandes fêtes"
"Marine Le Pen","TF1","Sud  Est","Plus de 100 000 habitants","Homme","50 à 64 ans","ouvriers","ouvriers","CAP/BEP","Sans religion","NA"
"Abstention","BFM TV","Ouest","Moins de 2000 habitants","Homme","50 à 64 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","BEPC","Sans religion","NA"
"Nicolas Sarkozy","Autre","Est","2 000 à 20 000 habitants","Femme","35 à 49 ans","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Catholique","Uniquement pour les cérémonies, mariages"
"NA","Aucune","Sud Ouest","20 000 à 100 000 habitants","Homme","18 à 24 ans","retraités / autres inactifs","retraités / autres inactifs","BAC général","Protestante","De temps en temps, aux grandes fêtes"
"NA","TF1","Est","20 000 à 100 000 habitants","Homme","18 à 24 ans","artisans, commercants et chef d entreprises","retraités / autres inactifs","BEPC","Sans religion","NA"
"Jean-Luc Mélenchon","BFM TV","Ouest","Plus de 100 000 habitants","Homme","35 à 49 ans","ouvriers","ouvriers","CAP/BEP","Catholique","Uniquement pour les cérémonies, mariages"
"Jean-Luc Mélenchon","France 2","Est","Plus de 100 000 habitants","Homme","18 à 24 ans","ouvriers","retraités / autres inactifs","BAC général","Sans religion","NA"
"François Hollande","Aucune","Sud Ouest","Plus de 100 000 habitants","Femme","50 à 64 ans","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Catholique","Uniquement pour les cérémonies, mariages"
"François Hollande","TF1","Est","Moins de 2000 habitants","Homme","35 à 49 ans","professions libérales et cadres","professions libérales et cadres","BAC+2 / niveau BAC+2","Catholique","De temps en temps, aux grandes fêtes"
"François Bayrou","France 3","Centre","2 000 à 20 000 habitants","Femme","50 à 64 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","Diplôme de l'enseignement supérieur","Catholique","Au moins une fois par semaine"
"Nicolas Sarkozy","TF1","Ouest","20 000 à 100 000 habitants","Femme","50 à 64 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","employés et personnels de services","BAC+2 / niveau BAC+2","Catholique","De temps en temps, aux grandes fêtes"
"François Hollande","TF1","Sud  Est","Plus de 100 000 habitants","Femme","50 à 64 ans","employés et personnels de services","employés et personnels de services","CAP/BEP","Catholique","De temps en temps, aux grandes fêtes"
"Marine Le Pen","TF1","Sud  Est","2 000 à 20 000 habitants","Homme","50 à 64 ans","ouvriers","ouvriers","CAP/BEP","Catholique","Uniquement pour les cérémonies, mariages"
"Nicolas Sarkozy","Aucune","Centre","Moins de 2000 habitants","Homme","50 à 64 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","CAP/BEP","Catholique","Uniquement pour les cérémonies, mariages"
"François Hollande","Aucune","Sud  Est","Moins de 2000 habitants","Femme","35 à 49 ans","artisans, commercants et chef d entreprises","artisans, commercants et chef d entreprises","Diplôme de l'enseignement supérieur","Catholique","Uniquement pour les cérémonies, mariages"
"François Bayrou","TF1","Est","Plus de 100 000 habitants","Femme","25 à 34 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions libérales et cadres","Diplôme de l'enseignement supérieur","Sans religion","NA"
"Nicolas Sarkozy","France 2","Sud  Est","2 000 à 20 000 habitants","Homme","35 à 49 ans","professions libérales et cadres","professions libérales et cadres","Sans diplôme","Juive","Jamais"
"François Hollande","TF1","Sud Ouest","Plus de 100 000 habitants","Homme","50 à 64 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","Sans diplôme","Sans religion","NA"
"Nicolas Sarkozy","TF1","Ouest","Moins de 2000 habitants","Homme","18 à 24 ans","ouvriers","ouvriers","BAC technique","Catholique","Uniquement pour les cérémonies, mariages"
"Jean-Luc Mélenchon","Aucune","Sud Ouest","Moins de 2000 habitants","Homme","25 à 34 ans","ouvriers","ouvriers","BAC général","Sans religion","NA"
"Abstention","Aucune","Ouest","Plus de 100 000 habitants","Femme","35 à 49 ans","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Sans opinion","NA"
"François Bayrou","BFM TV","Sud  Est","Plus de 100 000 habitants","Homme","35 à 49 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","BAC+2 / niveau BAC+2","Autre religion","Au moins une fois par semaine"
"Abstention","France 2","Centre","Moins de 2000 habitants","Femme","50 à 64 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions libérales et cadres","Diplôme de l'enseignement supérieur","Catholique","Uniquement pour les cérémonies, mariages"
"François Hollande","Canal +","Centre","Moins de 2000 habitants","Femme","50 à 64 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","employés et personnels de services","BAC général","Catholique","Uniquement pour les cérémonies, mariages"
"Abstention","TF1","Sud  Est","20 000 à 100 000 habitants","Femme","65 ans et plus","employés et personnels de services","employés et personnels de services","CAP/BEP","Catholique","De temps en temps, aux grandes fêtes"
"François Hollande","TF1","Est","20 000 à 100 000 habitants","Femme","18 à 24 ans","ouvriers","retraités / autres inactifs","BAC+2 / niveau BAC+2","Catholique","Au moins une fois par semaine"
"Nicolas Sarkozy","TF1","Sud Ouest","2 000 à 20 000 habitants","Femme","65 ans et plus","employés et personnels de services","ouvriers","CAP/BEP","Catholique","Au moins une fois par semaine"
